wallet,score,n_deposit,n_borrow,n_repay,n_liquid,amt_deposit,amt_borrow,amt_repay,active_days,borrow_to_deposit_ratio,repayment_ratio,liquidation_rate
0x000f4432a40560bbff1b581a8b7aded8dab80026,1000,7,6,3,0,3.1488764002887656e+16,17603.97911970302,17566.377247476397,18,5.590558942894253e-13,0.9978073321209782,0.0
0x000f7f22bfc28d940d4b68e13213ab17cf107790,1000,26,19,13,0,4.094270498824155e+19,3.4436280280110055e+19,3.433472565069429e+19,2,0.8410846398644131,0.9970509407929746,0.0
0x000f908720f9ce164d90f4fc89459fab4442907f,1000,32,30,17,0,1533514206332144.0,796443100395630.6,792775870146905.4,1,0.5193581494758768,0.9953954899641864,0.0
0x000fbfec300959d0f2f327728a889c1f5de8e2df,1000,3,1,1,0,591428253568978.1,140010630600290.3,139700011487765.86,8,0.23673307752106004,0.9977814605134363,0.0
0x0011730224657eb527cf736039854c3a3f140e63,1000,1,1,1,0,1507324205025001.8,738025356182590.2,738025356182590.2,1,0.4896261558875108,0.9999999999999987,0.0
0x00120ea6fdbaf057eadc1bd149f957488444e92c,1000,2,1,1,0,261125891711734.0,2.602967788219515,2.6163774015531507,1,9.968248537732183e-15,0.7261728539754974,0.0
0x0012668072f7e0579caf7e047713d8b6d476d0db,1000,2,0,0,0,2296181487521.5225,0.0,0.0,2,0.0,0.0,0.0
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,1000,101,24,93,2,1.838633810321085e+16,4965173744632387.0,935131957295062.5,62,0.27004690747883653,0.18833821440911086,0.08
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,700,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,1000,1,0,0,0,204240431458.08832,0.0,0.0,1,0.0,0.0,0.0
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,862,2,0,0,0,2.4353377818598245,0.0,0.0,6,0.0,0.0,0.0
0x0014dfac19477a83d7354e6eaac28642c1959398,1000,10,6,9,0,8.672151626282626e+16,18149.001627910842,18188.824774686098,30,2.092791086920897e-13,1.002139016159401,0.0
0x001589fe1923c2118f34e4277f2ef650fcbf0161,1000,19,2,0,0,3758467113608674.5,1419946916528212.8,0.0,132,0.377799478778692,0.0,0.0
0x00159370cbe576b765a7fb2e78582e0cb563d445,1000,10,7,0,0,2451090777406979.5,2348736820286721.5,0.0,20,0.958241466181624,0.0,0.0
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,836,1,0,0,0,14.143677216766179,0.0,0.0,1,0.0,0.0,0.0
0x0016469a65facda9e86fd0ae0e9661128843c224,1000,1,1,0,0,20668510838.36642,4676133673.838556,0.0,1,0.22624434388045636,0.0,0.0
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,1000,1,0,0,0,202456720023.76752,0.0,0.0,1,0.0,0.0,0.0
0x00183135585d70a523d61b2e43037a7138b36906,1000,15,13,10,0,1662229387057669.5,3849790053752160.5,1709073425633665.8,57,2.3160401829778223,0.44393938416665957,0.0
0x00184e8aa1e95f491f2d9601e12b540092160ded,1000,1,1,1,0,102305711108000.08,24984797105800.02,24984797105800.02,1,0.24421703182752247,0.9999999999999599,0.0
0x0018583d7654803d2c59467e10dec5f70bbe1851,1000,72,0,0,0,260583128.6238107,0.0,0.0,22,0.0,0.0,0.0
0x001875a076b3cfe1c9535d76b0345c16e3d61118,859,2,0,0,0,2.259609878203448,0.0,0.0,5,0.0,0.0,0.0
0x0018d044b946ede86b43bb3b964a45772a5abeb9,1000,9,2,2,0,2.872033114686218e+16,1.1215514727063227,1.121345368530205,53,3.9050784859381995e-17,0.528549687790407,0.0
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,0,0,1,2,0,0.0,79.00412443596895,158.72329212505053,14,79.00412443596895,1.9839388687027533,0.0
0x0019bd9f6142943f3a03a8a62d0001a95213f555,1000,1,0,0,0,126608392264.04059,0.0,0.0,1,0.0,0.0,0.0
0x001b024b98ee862aa01eea595c4c16a0213d2611,1000,1,1,0,0,901292526286305.1,498.74059439622636,0.0,1,5.533615112190507e-13,0.0,0.0
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,1000,10,6,7,0,46710787684152.52,234.87821429900868,235.2622310010467,23,5.028350536222928e-12,0.9973885536661681,0.0
0x001bc97d92e1a30b02d4e75be25f06063555d556,1000,12,10,9,0,1.1472342231228866e+17,54445.83740909293,54503.63129933802,9,4.745834487127302e-13,1.0010431072390553,0.0
0x001be549fa377710b9e59d57bbdf593ce1e379ca,1000,2,0,0,0,1586084926828.2158,0.0,0.0,20,0.0,0.0,0.0
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,1000,2,0,0,0,1812428653548.6912,0.0,0.0,9,0.0,0.0,0.0
0x001d2a3192a49e28cac0a7abcaa916648c62b982,1000,1,0,0,0,1565990185332.6885,0.0,0.0,1,0.0,0.0,0.0
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,738,1,0,0,0,1.1337851305503868,0.0,0.0,1,0.0,0.0,0.0
0x001f96b7e19a54ae45f451b0148336504d03fdcf,1000,1,0,0,0,566.6408226639782,0.0,0.0,1,0.0,0.0,0.0
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,1000,5,0,0,0,1196303231679944.5,0.0,0.0,68,0.0,0.0,0.0
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,701,1,0,0,0,0.02360514637371101,0.0,0.0,1,0.0,0.0,0.0
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,700,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,1000,2,0,0,0,1157956333789.6023,0.0,0.0,6,0.0,0.0,0.0
0x00222d56e0509a5e9ab05c588c548290a5e9f876,1000,1,0,0,0,1105702376236.7202,0.0,0.0,1,0.0,0.0,0.0
0x002379916ac42a432f3b53f16782d33267debb4c,1000,1,0,0,0,1188650795292.2615,0.0,0.0,1,0.0,0.0,0.0
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,859,2,0,0,0,2.259609878203448,0.0,0.0,5,0.0,0.0,0.0
0x0023d9ffe7d793895c5da5833d56c737832ead2b,839,2,0,0,0,15.189578905507386,0.0,0.0,1,0.0,0.0,0.0
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,791,1,0,0,0,5.129981410556754,0.0,0.0,1,0.0,0.0,0.0
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,1000,2,0,0,0,3103305498262.0957,0.0,0.0,1,0.0,0.0,0.0
0x0024461e7a8ce7157866eaa4c24b702d328250ce,700,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,1000,1,0,0,0,26044090290.244564,0.0,0.0,1,0.0,0.0,0.0
0x00246f7813397868b1beec56e1677efa47816dae,1000,30,9,2,0,7.438978731874703e+18,5.816299443463209e+18,5.472177717614791e+18,21,0.7818680027328749,0.9408349365101606,0.0
0x0025a856d01a898bd52286d56c52323b13937b65,1000,1,0,0,0,142202497421.8183,0.0,0.0,1,0.0,0.0,0.0
0x00261d225db379b3fc74cd0228d6f90582d39035,1000,1,1,0,0,32239917783.138004,4713438272.3885975,0.0,1,0.146198830404822,0.0,0.0
0x00262ffcfda82b5582d1905ca05b849f196b0419,1000,4,3,1,0,101.41967361600112,57.24285810787879,56.95340624693983,3,0.5589049065172542,0.9778607729285776,0.0
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,1000,1,0,0,0,162091424281.99927,0.0,0.0,1,0.0,0.0,0.0
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,753,1,0,0,0,1.8629892980475518,0.0,0.0,1,0.0,0.0,0.0
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,1000,1,0,0,0,204590866403.1135,0.0,0.0,1,0.0,0.0,0.0
0x002775390698ef16589bb22bba37ae7906ae2f36,1000,17,7,5,0,81790043756761.56,68522936271816.08,3386308266868.1675,20,0.8377906787236615,0.04941861004664694,0.0
0x0027c6cd01364a3c5d29f72269b36dfe85628193,753,1,0,0,0,1.8864509259060724,0.0,0.0,1,0.0,0.0,0.0
0x0027f7335d610f15b325baa5798414548720fcaa,1000,6,2,2,0,646588504693710.6,1568.6763662421108,1571.6110933811847,1,2.4260814333301382e-12,1.0012325643557376,0.0
0x00283b611db7844cb5677b311afd67c8e3078518,805,1,0,0,0,7.20152067392015,0.0,0.0,1,0.0,0.0,0.0
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,1000,1,0,0,0,37375320100.34612,0.0,0.0,1,0.0,0.0,0.0
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,1000,2,0,0,0,2123490954986.433,0.0,0.0,3,0.0,0.0,0.0
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,737,1,0,0,0,1.1058755718750974,0.0,0.0,1,0.0,0.0,0.0
0x002aea16059a7d4bef638a03b61a9e80ef07e745,1000,12,10,5,0,2085940883981687.0,962299598210510.2,583822.8517532286,82,0.4613263998036476,6.066955164887353e-10,0.0
0x002bb13a55bf4525f02717708dd4534ecc475193,771,2,0,0,0,3.1415513028579416,0.0,0.0,1,0.0,0.0,0.0
0x002c77a71d54e6da4b28690fe1676752a74a67eb,738,1,0,0,0,1.1597473478486582,0.0,0.0,1,0.0,0.0,0.0
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,1000,2,1,1,0,354758737505.12683,2.7225309172016465,2.7225309172016465,18,7.674316738018686e-12,0.7313655622364221,0.0
0x002d2715b179d0db3e17cc28317a98f2f65e6884,1000,98,64,38,0,1.7170246815323565e+17,3.1579052641518684e+16,1.31216618894225e+16,101,0.1839172900725923,0.41551790797456484,0.0
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,1000,1,0,0,0,1058311089277.2931,0.0,0.0,1,0.0,0.0,0.0
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,1000,5,5,16,0,7541229326265332.0,4507.462083128547,1386.103831655126,128,5.977091914483381e-13,0.3074449349018967,0.0
0x002de04d579930686698abab5f48bda0b24fb9fc,1000,32,13,15,0,4.5576112373074456e+16,43067.64650300531,43774.10099962049,80,9.449609512646562e-13,1.016379769365772,0.0
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,1000,1,1,1,0,8185806955103061.0,2495533267242660.5,2495533267242660.5,1,0.30486099671418904,0.9999999999999996,0.0
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,939,1,0,0,0,15.030517322502183,0.0,0.0,71,0.0,0.0,0.0
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,701,1,0,0,0,0.012361424916557983,0.0,0.0,1,0.0,0.0,0.0
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,1000,61,26,12,0,7103870377338912.0,144771635867722.7,2528.028174943289,105,0.020379262032924884,1.7462178691225964e-11,0.0
0x0030040e8d836ac3e546c354f9b373e70a14deeb,700,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,1000,35,23,0,0,1.6297731895335112e+16,4916033571209254.0,0.0,40,0.3016391239456066,0.0,0.0
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,1000,1,0,0,0,1815047297099.417,0.0,0.0,1,0.0,0.0,0.0
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,1000,1,0,0,0,196.7159780669421,0.0,0.0,33,0.0,0.0,0.0
0x003094a91a3b5523bc601b221f80183bd347e9ae,859,2,0,0,0,2.259609878203448,0.0,0.0,5,0.0,0.0,0.0
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,1000,1,0,0,0,47687924494.83424,0.0,0.0,1,0.0,0.0,0.0
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,1000,37,11,11,0,9.476929623780603e+16,5.475406080928501e+16,5.383964951151901e+16,73,0.5777616061629266,0.9832996624496765,0.0
0x0030de8f624d2b2513c6dbbff788bb109b80304d,1000,1,0,0,0,1003158605461.1735,0.0,0.0,1,0.0,0.0,0.0
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,1000,2,0,0,0,9008727.638327204,0.0,0.0,1,0.0,0.0,0.0
0x0030ee334630838ea4dee0b4b6ecbc973529031f,1000,8,7,1,0,3999417260580613.5,765181863758253.6,1816.91479412184,74,0.19132333885241284,2.374487530582483e-12,0.0
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,1000,1,0,0,0,1051909375190.0908,0.0,0.0,1,0.0,0.0,0.0
0x00326e37cef76788f6b0cf643c94481d60bd3d58,1000,2,0,0,0,26554821136395.52,0.0,0.0,1,0.0,0.0,0.0
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,1000,179,154,148,0,3.191776574420885e+18,5.323129221099345e+18,1.0555085071823899e+18,103,1.6677637350180665,0.19828722229748988,0.0
0x003325d3054cd7668fb16f19ea11bae6d02a474c,800,0,0,0,0,0.0,0.0,0.0,6,0.0,0.0,0.0
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,1000,59,45,21,0,6.056302461641713e+19,3.5059576652626915e+19,3.502175338124044e+19,24,0.5788940838850234,0.9989211714744524,0.0
0x0034d2a08772822866b08d2c585e5c8e25723760,1000,1,0,0,0,648774022183481.5,0.0,0.0,1,0.0,0.0,0.0
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,800,0,0,0,0,0.0,0.0,0.0,30,0.0,0.0,0.0
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,1000,14,8,2,0,2563293013287098.0,558877618717347.5,914.9663936533418,20,0.21803110913202142,1.6371498213745514e-12,0.0
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,1000,1,0,0,0,10238696481329.51,0.0,0.0,1,0.0,0.0,0.0
0x0036534c48a754163f0f446601f36bcfda840f57,1000,7,8,7,0,2736446545362116.5,161727752405438.12,149271603816964.44,12,0.059101374620141346,0.922980759930132,0.0
0x00368bb9dba2ee83f3553feae59710b9c3743e09,1000,9,1,0,0,2664374365870701.0,788567236346894.1,0.0,37,0.29596713076362113,0.0,0.0
0x0036a2f1f6136bb9d7992f7def692126a279e702,1000,1,0,0,0,1014717431814.5306,0.0,0.0,1,0.0,0.0,0.0
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,1000,9,14,14,0,3252077668192559.0,2412894443761522.0,1406598403450859.8,56,0.741954740921843,0.5829506579069731,0.0
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,1000,4,2,2,0,1405622698906991.5,428562340208470.5,447136694985124.44,70,0.30489144814018665,1.0433410802442826,0.0
0x0037643e4ec2b622270676e9e7aa163b261cfb79,752,1,0,0,0,1.8382403652310029,0.0,0.0,1,0.0,0.0,0.0
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,1000,3,0,0,0,49782.8970573351,0.0,0.0,49,0.0,0.0,0.0
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,1000,7,13,0,1,55655615174069.05,84007009788684.83,0.0,67,1.5094076226799789,0.0,0.07142857142857142
0x0038281701bf3f51fdbb18903c6e18776780a9a1,737,1,0,0,0,1.0939297118855962,0.0,0.0,1,0.0,0.0,0.0
0x00389de87cae34a6f89e13cc8225c4984add8b37,1000,328,100,76,0,2.6954437198536433e+18,1.6895565436388068e+18,1426082.1549210404,58,0.626819447645728,8.440570753848106e-13,0.0
0x0039e71541bdc798d062346bce94230bf519bb72,1000,1,1,0,0,30783814783.927177,4735971505.219565,0.0,1,0.1538461538411562,0.0,0.0
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,1000,2,0,0,0,1.0017499799558686e+16,0.0,0.0,2,0.0,0.0,0.0
0x003a85c562730b196f7cba202a2515f2ff855736,1000,131,22,12,0,1.7471292874329585e+18,5014426082412046.0,4970980528664496.0,102,0.002870094456363729,0.9913358870918578,0.0
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,1000,4,5,4,0,2427943365150083.0,885.9066653037405,886.0212731966362,2,3.6487946054251474e-13,0.9990017076861171,0.0
0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,856,2,0,0,0,2.0859259470726457,0.0,0.0,5,0.0,0.0,0.0
0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,1000,39,3,0,0,590444841083987.4,112418397982774.95,0.0,79,0.19039610503902074,0.0,0.0
0x003b2816d976cebbf0cadec981ff59286b6d7f2f,1000,2,0,0,0,141.96701719755856,0.0,0.0,19,0.0,0.0,0.0
0x003be39433bde975b12411fbc3025d49d813a84f,350,0,1,0,3,0.0,0.7321317130665956,0.0,32,0.7321317130665956,0.0,1.5
0x003cb0842811db8d115e28f13048dd83db391dcb,748,1,0,0,0,1.622958931890345,0.0,0.0,1,0.0,0.0,0.0
0x003dc03b7d7fe265e1c1db88bb1c6b1e6bcd06a7,1000,1,0,0,0,1456005976504.559,0.0,0.0,1,0.0,0.0,0.0
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,0,0,1,3,0,0.0,1714.957348770349,3414.426915768484,1,1714.957348770349,1.9898087316769582,0.0
0x003e9a119439ef34de3237034cee95675b01d5d4,1000,6,9,8,0,2.906098794132161e+16,17372.67688475029,14109.507427746397,92,5.978006294840447e-13,0.8121198247983413,0.0
0x003ed65a094ef804c934f2427b601e03113882ff,1000,2,0,0,0,229407503.43754804,0.0,0.0,1,0.0,0.0,0.0
0x003edfecb016131dbd485c72f3b6f2e98a1429d9,1000,59,50,16,0,842103773067356.1,342719725883200.3,1073.6614628823245,41,0.40698039463099195,3.1327682120294053e-12,0.0
0x003f705c2e62e268891d8aa2724e32f2176dc963,1000,1,0,0,0,15939348187759.633,0.0,0.0,1,0.0,0.0,0.0
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,1000,19,3,4,0,4.700590933337324e+16,17043.969762901757,16966.99704855937,31,3.6259206564909245e-13,0.9954254706563285,0.0
0x00405f7b768a9a6b81e8060a17f0550501acf6be,0,87,40,0,0,30301.68265732337,1.68797199342611e+16,0.0,56,557037148332.5326,0.0,0.0
0x0040932d4c252856709b24dc406244392d3df400,819,1,0,0,0,9.814599508936935,0.0,0.0,1,0.0,0.0,0.0
0x0040daac32d83c78546ae36da42a496b28ab09e1,1000,6,0,0,0,2111760411662154.8,0.0,0.0,61,0.0,0.0,0.0
0x00418b8ea6c6e2d5676f651bf76a368adb845e91,1000,1,0,0,0,1213755000000000.0,0.0,0.0,1,0.0,0.0,0.0
0x0041dac13d9365b4d695fb612950dc71884f8db1,1000,43,34,55,0,4758545251261544.0,1514632305444592.5,1175692336118230.5,51,0.3182973420381042,0.7762229366771144,0.0
0x0043090d0a3338eb89914ea9af5c529e928a044c,1000,1,0,0,0,9225.488219474806,0.0,0.0,1,0.0,0.0,0.0
0x0043260ff376a32f335de2091e8bd455d74ecef9,737,1,0,0,0,1.109778724889663,0.0,0.0,1,0.0,0.0,0.0
0x00432772ed25d4eb3c6eb26dc461239b35cf8760,1000,1,0,0,0,1099059766620.9373,0.0,0.0,1,0.0,0.0,0.0
